section,diagramNumber,originalPartNumber,currentServicePartNumber,description,nlaStatus,availability,searsPrice,encompassPrice,selectedRetailPrice,selectedRetailPriceSource,sources,reviewFlags,sourceUrls
"Backsplash, Blower and Drive Assembly",1,31-16282,31-16282,Wiring Diagram (front Si),,No longer made / no substitute,,,,,sears_partsdirect_screenshot_json,not_in_complete_bom_csv,https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=9
"Backsplash, Blower and Drive Assembly",1,31-16719,31-16719,Installation Instructions,,No longer made / no substitute,,,,,sears_partsdirect_screenshot_json,not_in_complete_bom_csv,https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=9
"Backsplash, Blower and Drive Assembly",1,39-90406-1,39-90406-1,Use & Care (Hotpoint),,No longer made / no substitute,,,,,sears_partsdirect_screenshot_json,not_in_complete_bom_csv,https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=9
"Backsplash, Blower and Drive Assembly",3,WE19M1478,WE49X22294,End cap LH white,false,In Stock,69.63,,69.63,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=8
"Backsplash, Blower and Drive Assembly",4,WE19M1477,WE49X22294,End cap RH white,false,In Stock,69.63,,69.63,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=8
"Backsplash, Blower and Drive Assembly",7,WE1M652,WE1M652,"Dryer timer knob, white",false,In Stock,14.11,11.95,14.11,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json; sears_catalog_api_capture; operator_price_comparison_csv,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=1; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts
"Backsplash, Blower and Drive Assembly",13,WE19M1713,WE19M1713,Backsplash graphics assembly,false,In Stock,203.02,,203.02,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,has_duplicate_rendered_sears_rows,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=4
"Backsplash, Blower and Drive Assembly",19,WH01X10313,WH01X10313,"Control knob, white",false,In Stock,9.04,,9.04,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=2
"Backsplash, Blower and Drive Assembly",35,WE4M416,WE4M416,Dryer Push-to-start Switch,false,In Stock,32.53,21.95,32.53,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json; sears_catalog_api_capture; operator_price_comparison_csv,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=1; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts
"Backsplash, Blower and Drive Assembly",72,WE19M1481,WE19M1481,"Dryer Control Panel Cover, Rear",false,In Stock,63.25,,63.25,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=3
"Backsplash, Blower and Drive Assembly",75,WE2M173,WE2M173,"Attachment screw, Phillips head",true,In Stock,10.47,,10.47,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,nla_status_conflict,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=4
"Backsplash, Blower and Drive Assembly",87,WE4M404,WE4M404,"Rotary switch, 3-temp electric",false,In Stock,36.33,,36.33,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=6
"Backsplash, Blower and Drive Assembly",100,WE4M532,WE4M532,Dryer Timer,false,In Stock,97.52,,97.52,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=2
"Backsplash, Blower and Drive Assembly",201,WE16X20393,WE16X20393,Laundry Center Dryer Blower Wheel,false,In Stock,49.26,35.95,49.26,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json; sears_catalog_api_capture; operator_price_comparison_csv,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=1; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts
"Backsplash, Blower and Drive Assembly",203,WE13X0200,WE13X30697,Dryer Motor Clamp,false,In Stock,39.56,,39.56,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=7
"Backsplash, Blower and Drive Assembly",204,WE1X921,WE1X921,Motor strap,false,In Stock,36.7,,36.7,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=5
"Backsplash, Blower and Drive Assembly",205,WE13M39,WE13M39,Motor support,false,In Stock,42.52,,42.52,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=3
"Backsplash, Blower and Drive Assembly",206,WE2M200,WE2M200,Ground screw,false,,,,,,ge_appliance_parts_complete_bom_csv,missing_from_sears_rendered_rows,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW
"Backsplash, Blower and Drive Assembly",213,WE12X21574,WE03X29897,Dryer Drum Belt,false,In Stock,49.5,32.95,49.5,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json; sears_catalog_api_capture; operator_price_comparison_csv,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=1; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts
"Backsplash, Blower and Drive Assembly",215,WE03X20434,WE03X20434,Dryer Idler Pulley Arm,false,In Stock,104.01,,104.01,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=2
"Backsplash, Blower and Drive Assembly",216,WE12X20395,WE03X31620,Dryer Idler Pulley,false,In Stock,66.67,,66.67,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=8
"Backsplash, Blower and Drive Assembly",218,WE1M966,WE09X27636,Blower gasket / exhaust gasket,false,In Stock,58.63,,58.63,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,has_duplicate_rendered_sears_rows,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=7
"Backsplash, Blower and Drive Assembly",219,WE14X20392,WE14X20392,Blower housing assembly,true,No longer made / no substitute,,,,,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=9
"Backsplash, Blower and Drive Assembly",223,WE2M189,WE2M189,Screw,true,In Stock,9.23,,9.23,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,nla_status_conflict,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=5
"Backsplash, Blower and Drive Assembly",228,WE14X20421,WE14X20421,Dryer Exhaust Duct,true,No longer made / no substitute,,,,,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=9
"Backsplash, Blower and Drive Assembly",230,WE4M127,WE4M127,Dryer Operating Thermostat,false,In Stock,24.43,,24.43,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=3
"Backsplash, Blower and Drive Assembly",231,WE2M187,WD02X10057,Screw,false,In Stock,9.01,,9.01,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,has_duplicate_rendered_sears_rows,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=7
"Backsplash, Blower and Drive Assembly",232,WE2M202,WE2M202,Screw,false,In Stock,10.53,,10.53,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=6
"Backsplash, Blower and Drive Assembly",233,WE13X20394,WE13X20394,Motor plate,true,No longer made / no substitute,,,,,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=9
"Backsplash, Blower and Drive Assembly",234,WE2M96,WE2M96,Nut/cap,false,In Stock,38.43,,38.43,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=2
"Backsplash, Blower and Drive Assembly",235,WE2M307,WE2M307,"Screw, 10-16 x 1/2 AB",false,In Stock,10.71,,10.71,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=4
"Backsplash, Blower and Drive Assembly",237,WE2M154,WD02X10057,Screw,false,In Stock,9.01,,9.01,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,has_duplicate_rendered_sears_rows,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=7
"Backsplash, Blower and Drive Assembly",239,WE2M167,WR2X9260,"Screw, 6-20 x .84 AB pan quadrex",false,In Stock,31.77,,31.77,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,has_duplicate_rendered_sears_rows,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=7
"Backsplash, Blower and Drive Assembly",240,WE1M280,WE1M280,Screw,false,,,,,,ge_appliance_parts_complete_bom_csv,missing_from_sears_rendered_rows,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW
"Backsplash, Blower and Drive Assembly",461,WZ05X0158,WZ5X158D,"Screw, ground",false,,,,,,ge_appliance_parts_complete_bom_csv,missing_from_sears_rendered_rows,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW
"Backsplash, Blower and Drive Assembly",502,WE2M174,WE2M174,Washer Screw,false,In Stock,13.18,,13.18,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=3
"Backsplash, Blower and Drive Assembly",630,WE17M66,WE17X22217,Dryer Drive Motor With Pulley,false,In Stock,183.37,152.95,183.37,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json; sears_catalog_api_capture; operator_price_comparison_csv,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=1; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts
"Backsplash, Blower and Drive Assembly",631,WE1M650,WE1M650,Dryer Motor Wire Harness Connector,true,No longer made / no substitute,,,,,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=9
"Backsplash, Blower and Drive Assembly",803,WD21X557,WD21X10261,Switch interlock,false,In Stock,25.59,,25.59,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=2
"Backsplash, Blower and Drive Assembly",2232,WE1M659,WE1M659,Push/start button,false,,,,,,ge_appliance_parts_complete_bom_csv,missing_from_sears_rendered_rows,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW
Cabinet and Top Panel,2,WE02X20422,WE02X20422,Screw 8-18 x 7/16,true,In Stock,8.13,,8.13,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,nla_status_conflict,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=6
Cabinet and Top Panel,80,WE4M255,WE4M255,Kenmore Dryer Timer Resistor,false,In Stock,38.35,,38.35,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=3
Cabinet and Top Panel,222,WE20X20412,WE20X20412,Dryer bottom cover,true,In Stock,139.1,,139.1,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,nla_status_conflict,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=4
Cabinet and Top Panel,231,WE2M187,WD02X10057,Screw,false,In Stock,9.01,,9.01,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,has_duplicate_rendered_sears_rows,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=7
Cabinet and Top Panel,235,WE2M307,WE2M307,"Screw, 10-16 x 1/2 AB",false,In Stock,10.71,,10.71,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=4
Cabinet and Top Panel,236,WE1M1101,WE01X29357,Leveling leg,false,,,,,,ge_appliance_parts_complete_bom_csv,missing_from_sears_rendered_rows,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW
Cabinet and Top Panel,237,WE2M154,WD02X10057,Screw,false,In Stock,9.01,,9.01,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,has_duplicate_rendered_sears_rows,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=7
Cabinet and Top Panel,250,WE2M223,WE2M223,Screw,false,In Stock,8.39,,8.39,searspartsdirect.com,ge_appliance_parts_complete_bom_csv; sears_partsdirect_screenshot_json,,https://www.geapplianceparts.com/store/parts/assembly/HTDX100ED3WW; https://www.searspartsdirect.com/model/4x4e8wp29p-001811/hotpoint-htdx100ed3ww-dryer-parts?page=6
